"1,461,102,594.79"
"1,462,157,895.89"
"1,463,168,137.52"
"1,464,186,477.79"
"1,465,211,285.11"
"1,466,170,312.37"
"1,467,178,740.05"
"1,468,156,303.97"
"1,469,202,182.04"
"1,470,124,369.12"
"1,471,143,737.06"
"1,472,100,703.47"
"147,392,524.48"
"1,474,138,330.77"
"1,475,100,806.44"
"1,476,366,482.72"
"1,477,255,809.16"
"1,478,309,181.23"
"1,479,316,164.31"
"1,480,450,707.39"
"1,481,318,448.26"
"1,482,221,035.39"
"1,483,171,480.95"
"1,484,167,117.94"
"1,485,197,793.99"
"1,486,187,385.63"
"1,487,352,977.73"
"1,488,227,828.79"
"1,489,193,182.01"
"1,490,254,224.92"
"1,491,204,109.41"
"1,492,101,512.80"
"1,493,212,100.21"
"1,494,312,321.84"
"1,495,290,654.89"
"1,496,251,317.87"
"1,497,166,270.21"
"1,498,173,230.00"
"1,499,160,837.94"
"1,500,153,760.13"
"1,501,188,392.92"
"1,502,129,464.99"
"1,503,275,909.06"
"1,504,237,508.71"
"1,505,220,726.52"
"1,506,186,920.41"
"1,507,240,268.61"
"1,508,187,810.95"
"1,509,151,792.54"
"1,510,144,309.30"
"1,511,149,308.18"
"1,512,167,139.96"
"1,513,160,708.75"
"1,514,147,269.63"
"1,515,188,519.35"
"1,516,159,208.54"
"1,517,175,256.80"
"1,518,118,342.34"
"1,519,205,248.89"
"1,520,123,099.91"
"1,521,122,467.98"
"1,522,185,205.82"
"1,523,103,059.92"
"1,524,119,940.10"
"1,525,111,887.03"
"1,526,110,488.68"
"1,527,108,069.12"
"1,528,132,264.16"
"1,529,157,290.07"
"1,530,211,066.79"
"1,531,135,864.79"
"1,532,102,501.11"
"1,533,148,646.65"
"1,534,127,461.95"
"1,535,139,176.96"
"153,694,879.67"
"153,739,671.49"
"1,538,156,654.82"
"1,539,213,432.85"
"1,540,127,331.93"
"1,541,131,220.69"
"1,542,141,423.06"
"1,543,187,405.66"
"154,494,436.37"
"1,545,128,467.92"
"1,546,141,042.35"
"1,547,134,095.94"
"1,548,157,603.34"
"1,549,134,278.18"
"1,550,148,047.59"
"1,551,113,429.54"
"1,552,162,803.71"
"1,553,147,555.40"
"1,554,117,870.37"
"1,555,154,028.90"
"155,665,359.12"
"1,557,104,684.01"
"155,893,509.20"
"155,972,385.61"
"1,560,125,512.56"
"1,561,129,690.19"
"1,562,139,125.05"
"1,563,127,710.71"
"1,564,144,732.68"
"1,565,147,817.88"
"1,566,230,907.71"
"156,776,644.97"
"1,568,238,746.73"
"1,569,112,751.32"
"1,570,138,565.05"
"157,170,734.09"
"1,572,137,575.05"
"1,573,243,369.23"
"1,574,132,305.66"
"1,575,235,387.22"
"1,576,230,564.45"
"1,577,187,699.75"
"1,578,162,043.53"
"1,579,144,950.27"
"1,580,192,512.92"
"1,581,149,511.41"
"1,582,143,454.49"
"1,583,252,480.43"
"1,584,219,986.96"
"1,585,136,115.97"
"158,667,639.17"
"1,587,117,965.75"
"1,588,163,373.50"
"158,986,755.30"
"1,590,124,567.76"
"159,181,286.52"
"1,592,124,361.61"
"1,593,149,769.96"
"1,594,149,861.31"
"1,595,116,983.63"
"1,596,222,247.51"
"1,597,211,680.74"
"1,598,223,993.15"
"1,599,192,774.56"
"1,600,178,342.11"
"160,154,048.14"
"1,602,123,811.75"
"160,377,602.46"
"1,604,287,016.19"
"1,605,222,647.82"
"1,606,149,129.01"
"1,607,162,735.82"
"1,608,211,965.18"
"1,609,179,541.77"
"1,610,148,310.10"
"1,611,131,388.38"
"1,612,183,256.01"
"1,613,160,700.23"
"1,614,143,265.37"
"161,582,425.89"
"161,658,615.77"
"161,781,973.59"
"1,618,128,204.25"
"1,619,149,572.20"
"1,620,168,313.82"
"1,621,122,516.26"
"1,622,154,451.58"
"1,623,251,450.73"
"1,624,183,858.97"
"1,625,114,432.25"
"1,626,166,360.16"
"1,627,180,712.59"
"1,628,275,410.20"
"1,629,191,196.08"
"1,630,333,905.85"
"1,631,249,313.36"
"1,632,235,500.24"
"1,633,190,112.65"
